,boat_name,type,owner,port,captain
0,18 Reeler,97' Weaver,NA,"Palm Beach, FL",Jed Galloway
1,21' Parker,21' Parker,Jimmy Price,NA,Jimmy Price
2,ANITA JEAN,64' Winter Custom Yachts,Peter Watson,"Kinston, NC USA",Peter Watson
3,Accordingly IV,76' Viking,Accordingly IV,NA,Peter Duboise
4,Adios,58' Merritt,Ray Trevino,"Morehead City, NC USA",Michael Gerbase
5,Agent Orange,26' Sailfish,Jesse Rhodes,"Kill Devil Hills, NC USA",Jesse Rhodes
6,Albatross II,44' Willis and Son,Ernal Foster,"Hatteras, NC Dare",Bryan Mattingly
7,Angelamy,37' Merritt,NA,NA,Danny Smith
8,Ann Warrick,76' Paul Mann,Linwood Lacy (Chip Lacey),"Midlothian, VA USA",Bradley Diaz
9,Annali,55' Shearwater,Stephen Phillips,"Stuart, FL USA",Bill Bew
10,Annie C,55' Paul Mann,NA,NA,Whit Brown
11,Annie O,60' Guthrie,Brad Sutton,"Atlantic Beach, NC USA",Brad Sutton
12,Anticipation,61' Spencer Yachts,Paul Coury,"Virginia Beach, VA USA",Harvey Shiflet
13,Aoife,34' Jarrett Bay,James H Willey Jr/James H Willey III,"Morehead City, NC United States",NA
14,April Mae,65' Hatteras,Joe Visser,"Beaufort, NC Carteret",Tom Brewer
15,Ashley Lauren,46' Ricky Scarborough,Island Adventures,"Raleigh, NC",Mark Annis
16,Auspicious,80' Viking,Over Seas Charters,"Palm Beach, FL USA",Edward Murray
17,Ava D,62' Gillikin,Jerry A. Jackson,"Morehead City, NC",Jerry Jackson
18,BAM,37' Spencer,Blaine DuBose,"Atlantic Beach, North Carolina USA",Blaine Du Bose
19,BANKWALKER,60' Sportsman,Bryant Montague,"Raleigh, NC United States",Bryant Montague
20,BOBCAT,39' YELLOWFIN,Henry Moore,"Morehead City, NC USA",Henry Moore
21,Baby J,57' Chadwick,NA,NA,Patrick Shore
22,Bad Becky,54' Garlington,Claude Burns (Bad Becky LLC),"Edisto Island, SC, SC",Garett Yarbrough
23,Bad Habit,60' Hatteras,John Steele,"Duck Key, FL",John Steele Ii
24,Beagle,62',Bill Dillon,"Harkers Island, NC",Bill Dillon
25,Big Stick,63' Weaver,NA,NA,David Bowen
26,Bill Collector,51' Jarrett Bay,NA,NA,Stephen Draughon
27,Bird Dog,40' Layton Custom,NA,NA,Howard Day
28,Bizzy B,33' World Cat,Rob Bizzell,"Atlantic Beach, NC USA",Rob Bizzell
29,Blue Sky,60' Spencer,NA,NA,Jay Weaver
30,Blue Water,54' Buddy Harris,Jimmy Hite,"Morehead City, NC",Jimmy Hite
31,Bonna Vear,55' James Hudson,Jake T Stiteler,NA,Foz Gibson
32,Bow Movement,32' sea fox,David Moxley,"southport, North Carolina United States",David Moxley
33,Braggin' Rights,53' Jim Smith,Braggin' Rights Charters LLC,"Atlantic Beach, NC",John Foss
34,Brown Eyed Girl,50' Hatteras,NA,NA,Brandon Speilman
35,Buckshott,65' Cap N Squid,John McMullen Jr.,"Atlantic Beach, NC",John Mcmullen
36,Buena Suerte,34' Hydra SPorts,Thomas Kellis,"New Bern, NC",Tommy Kellis
37,Builder's Choice,64' Jarrett Bay,Harris Huddle,"New Bern, NC USA",Brent Gaskill
38,Bullfrog,35' Duffy,Bob Eakes,"Buxton, NC",Bob Eakes
39,Business,62' Viking,Mike Rich,"Key Largo, Florida USA",Dave Goddard
40,C-Escape,55' Viking,"William Downey, Jr.","Durham, NC USA",NA
41,C-Phase,58' Shearline,Gary Whaley,"Atlantic Beach, NC",Shane Whaley
42,CATCH 23,80' Viking,Sea Jumper LLC,"Jupiter, Florida USA",Stetson Turney
43,CONTENDER 44,44' CONTENDER,NA,NA,David Starling
44,Callisto,61' Garlington,Callisto Marine LLC,"Palm Beach, FL Palm Beach County",Steve Crammer
45,Can Do Too,52' Viking,Sid Gold,"Stuart, FL",Skip Lecain
46,Caramba,57' Briggs,NA,NA,Dale Lackey
47,Carolina Girl 34',34' Regulator,Thomas W. Glasgow,"Morehead City, NC",Thomas Glasgow
48,Carolina Girl-Ash,54' Hatteras,Steven E Ash Sr,"Manteo, NC",Jordan Croswait
49,Carolina Lady,50' Viking,Charlie Harrell,"Fayetteville, NC",Fred Willis
50,Carolina Pirate,45' Forbes,Aubrey Stimpson and Bonn Williams,"Morehead City, NC Carteret",Aubrey Stimpson / Bonn Williams
51,Carolina Time,56' Gwaltney,Reel Partners,"Raleigh, NC",Shane Brafford
52,Carterican,57' Gwaltney,Jamie Smith,"Morehead City, NC USA",Lee Smith
53,Catherine Grace,35' Ricky Scarborough,Scott J Williams,NA,Scott Williams
54,Chas'n Tails,55' Jarrett Bay,Garth McGillewie,"Wrightsville Beach, North Carolina United States",Brandt Mcgillewie
55,Chunda,48' Merritt,NA,NA,Jeff Crabtree
56,Click Through,68' Wanchese,Keith English,"Gulf Breeze, FL",Matt Mauldwin
57,Critter II,45' Atlantic,Christopher Critz,"Beaufort, NC",Christopher Critz
58,Current Breaker,33' Onslow Bay,Robin King,"Durham, NC",Philip Young
59,Cut and Dry,60' Bertram,Fred Sancillo,"Myrtle Beach, SC",Fred Sancillo
60,Dancin Outlaw,56' C & L,Crystal Coast Charter,"Summerfield, NC",NA
61,Demolished Profits,35' Wellcraft,Kyle Corbett,"Newport, NC USA",Kyle Corbett
62,Desperado,66' Viking,NA,NA,Mike Parr
63,Desperado NC,56' Taylor Harrison,Desperado Sportfishing NC LLC,"Oregon Inlet, NC USA",NA
64,Developin Habits,53' Jarrett Bay,Josh & Jordan Finch,"Clayton, NC USA",NA
65,Diamond Girl,68' Weaver,Clyde Bailey,"Atlantic Beach, NC USA",Max Weaver
66,Doc Fees,56' Buddy Cannady,"T&T Sportfishing, LLC","Wilmington, NC",Taylor Pleasant
67,Donna Mae,61' Chadwick,NA,NA,James Luihn
68,Dorothy Marie,48' Viking,Dorothy Marie Charters / Andrew Kevlahan,"Oriental, NC Usa",Robert Holmes
69,Double B,63' Scarborough,Harry Smith,"Atlantic Beach, North Carolina United States",Parker Henry
70,Down Under,51' Riviera,Chris Daniels,NA,Chris Daniels
71,Drillin & Billin,56' Viking,Edward Amos,"Hatteras, NC US",Lee Martin
72,Dropped Call,61' Viking,Bryan Leach,"Wilmington, DE USA",Bryan Leach
73,Due South,58' Bobby Sullivan,NA,"Oak Ridge, NC",Mark Chambers
74,Dun-Rite,68' Viking,NA,NA,Frank Spencer
75,EL BENDIDO,61' Blackwell,Paul Squarcia Jr.,"Somers, Montana United States",David Midgett
76,EZ Boy,40' Winter,Van Pierce,"Trinity, NC",Van Pierce
77,El Azul,42' Yellowfin,Ormonde Mahoney,"Beaufort, NC USA",Mike Taylor
78,El Cazador,85' Ricky Scarborough,"El Cazador Management, LLC","Quitman, TX",Paul Alderman
79,FLORIDIAN,60' SPORTSMAN,NA,"Stuart, FL",Glenn Cameron
80,Fender Bender,55' Jarrett Bay,Bobby Whelan,"Virginia Beach, VA USA",Collin Oxnard
81,Fin Chaser,62' Custom Carolina,Keith Smith,"Atlantic Beach, NC",Keith Smith
82,Fin Print,62' Paul Mann,"The Doghouse at Sea, LLC","Morehead City, NC USA",Emery Ivey
83,First Look,60' Weaver,NA,NA,Alan Scibal
84,Fishin Physician,42' Freeman,Kendall Suh,"Ocean Isle Beach, North Carolina United States",Kendall Suh
85,Flatline,32' Seacraft,Roger Mayo Jr,NA,Roger Mayo Jr
86,Following Seas,58' Viking,Kirk Kellogg,NA,Charlie Vanderbeck
87,Fowl Hooked,61' Garlington,Ron Prestage,"Camden, SC",Ron Prestage
88,Free Spool,72' Viking,Rob Rowe,NA,Mark Goodwin
89,Freestyle,61' Spencer Yachts,Kenny Lindauer,"Virginia Beach, VA USA",Kenny Lindaver
90,Full Circle,58' Jarrett Bay,Shawn Gentry,"Harkers Island, NC USA",Teak Bell
91,Game Changer,60' Billy Holton,C&G Adventures,"Manteo, NC USA",Gregg Middleton
92,Game On,66' Spencer,Sea Hunt Boat Co,NA,Bennett Griffin
93,Game Plan,50' Viking,Deborah Jones,"Beaufort, NC Usa",Ralph Griffin
94,Gamekeeper,55' Core Sound,"Ukenfish,llc","Wrightsville Beach, North Carolina",Ken Upton
95,Genetic Disorder,55' Viking,NA,NA,Bennett Norman
96,Georgia Ann,48' Ocean Yacht,Samuel Williams,"Beaufort , North Carolina United States",Jeff Bankowski
97,Glazed,58' Dean Johnson,Miles Herring,"Murrells Inlet, SC USA",Miles Herring
98,Goin' In Deep,70' Viking,NA,NA,Walter Harmstead
99,Goombay,62' Weaver,Terry Young,"Morehead City, NC USA",Brian Peele
100,Grand Slam,61' Paul Mann,Wallis Higginbotham,"New Smyrna Beach, Florida USA",Dave Grubbs
